#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Sound Card
#Serial Number: 
#Date Time: 2021-03-02 17:08:58.776
#Sample rate: 96000Hz
#Samples: 16384
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Pulse
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.05767768817204301,0.1356201171875,0.135589599609375
-0.05766727150537634,0.142822265625,0.142852783203125
-0.05765685483870967,0.149566650390625,0.1495361328125
-0.05764643817204301,0.1558837890625,0.155853271484375
-0.05763602150537634,0.16180419921875,0.161773681640625
-0.05762560483870968,0.16717529296875,0.16717529296875
-0.05761518817204301,0.172149658203125,0.172119140625
-0.05760477150537634,0.17681884765625,0.176788330078125
-0.05759435483870967,0.181121826171875,0.18115234375
-0.05758393817204301,0.185089111328125,0.185089111328125
-0.05757352150537634,0.18865966796875,0.188690185546875
-0.05756310483870967,0.192047119140625,0.192047119140625
-0.05755268817204301,0.195159912109375,0.195159912109375
-0.05754227150537634,0.19775390625,0.19775390625
-0.05753185483870967,0.199920654296875,0.19989013671875
-0.05752143817204301,0.202056884765625,0.202056884765625
-0.05751102150537634,0.20428466796875,0.20428466796875
-0.05750060483870967,0.2061767578125,0.206146240234375
-0.05749018817204301,0.207427978515625,0.2073974609375
-0.05747977150537634,0.20855712890625,0.208587646484375
-0.05746935483870967,0.210205078125,0.210235595703125
-0.05745893817204301,0.211761474609375,0.211761474609375
-0.05744852150537634,0.212310791015625,0.212310791015625
-0.05743810483870967,0.212432861328125,0.212432861328125
-0.05742768817204301,0.2142333984375,0.214202880859375
-0.05741727150537634,0.217529296875,0.217498779296875
-0.05740685483870967,0.217498779296875,0.217498779296875
-0.05739643817204301,0.207489013671875,0.207489013671875
-0.05738602150537634,0.185546875,0.185577392578125
-0.05737560483870967,0.156524658203125,0.156524658203125
-0.05736518817204301,0.127685546875,0.127685546875
-0.05735477150537634,0.102783203125,0.102783203125
-0.05734435483870967,0.080841064453125,0.080841064453125
-0.05733393817204301,0.059783935546875,0.059783935546875
-0.05732352150537634,0.03936767578125,0.03936767578125
-0.05731310483870967,0.020477294921875,0.0205078125
-0.05730268817204301,0.00341796875,0.003448486328125
-0.05729227150537634,-0.012603759765625,-0.0125732421875
-0.05728185483870967,-0.0279541015625,-0.0279541015625
-0.05727143817204301,-0.042327880859375,-0.0423583984375
-0.05726102150537634,-0.055572509765625,-0.0555419921875
